yr,season,cat_no,cat_type,PM,TOG,NOx,SOx,CO,CO2,CH4,N2O,HFC,BCO2
1990,Annual,1474,Area,0,0.089,0,0,0,0,0,0,0,0
1990,Annual,1475,Area,0,0.107,0,0,0,0,0,0,0,0
1990,Annual,1477,Area,0,0.022,0,0,0,0,0,0,0,0
1990,Annual,1478,Area,0,0.005,0,0,0,0,0,0,0,0
1990,Annual,1479,Area,0,2.8,0,0,0,0,0,0,0,0
1990,Annual,1480,Area,0,1.894,0,0,0,0,0,0,0,0
1990,Annual,1481,Area,0,0.727,0,0,0,0,0,0,0,0
1990,Annual,1482,Area,0,0.031,0,0,0,0,0,0,0,0
1990,Annual,1483,Area,0,0.133,0,0,0,0,0,0,0,0
1990,Annual,1484,Area,0,0.204,0,0,0,0,0,0,0,0
1990,Annual,1485,Area,0,0.408,0,0,0,0,0,0,0,0
1990,Annual,1486,Area,0,0.129,0,0,0,0,0,0,0,0
1990,Annual,1487,Area,0,0.006,0,0,0,0,0,0,0,0
1990,Annual,1488,Area,0,4.794,0,0,0,0,0,0,0,0
1990,Annual,1489,Area,0,0.024,0,0,0,0,0,0,0,0
1990,Annual,1490,Area,0,2.494,0,0,0,0,0,0,0,0
1990,Annual,1491,Area,0,3.35,0,0,0,0,0,0,0,0
1990,Annual,1492,Area,0,0.105,0,0,0,0,0,0,0,0
1990,Annual,1493,Area,0,0.016,0,0,0,0,0,0,0,0
1990,Annual,1494,Area,0,0.952,0,0,0,0,0,0,0,0
1990,Annual,1495,Area,0,0.018,0,0,0,0,0,0,0,0
1990,Annual,1496,Area,0,0.009,0,0,0,0,0,0,0,0
1990,Annual,1497,Area,0,0.726,0,0,0,0,0,0,0,0
1990,Annual,1498,Area,0,0.022,0,0,0,0,0,0,0,0
1990,Annual,1499,Area,0,0.079,0,0,0,0,0,0,0,0
1990,Annual,1500,Area,0,0.931,0,0,0,0,0,0,0,0
1990,Annual,1501,Area,0,0.118,0,0,0,0,0,0,0,0
1990,Annual,1502,Area,0,0.171,0,0,0,0,0,0,0,0
1990,Annual,1503,Area,0,1.349,0,0,0,0,0,0,0,0
1990,Annual,1504,Area,0,3.378,0,0,0,0,0,0,0,0
1990,Annual,1505,Area,0,0.094,0,0,0,0,0,0,0,0
1990,Annual,1506,Area,0,0.361,0,0,0,0,0,0,0,0
1990,Annual,1507,Area,0,0.077,0,0,0,0,0,0,0,0
1990,Annual,1508,Area,0,0.44,0,0,0,0,0,0,0,0
1990,Annual,1509,Area,0,0.012,0,0,0,0,0,0,0,0
1990,Annual,1510,Area,0,0.082,0,0,0,0,0,0,0,0
1990,Annual,1511,Area,0,0.121,0,0,0,0,0,0,0,0
1990,Annual,1512,Area,0,0.125,0,0,0,0,0,0,0,0
1990,Annual,1513,Area,0,0.019,0,0,0,0,0,0,0,0
1990,Annual,1514,Area,0,0.11,0,0,0,0,0,0,0,0
1990,Annual,1515,Area,0,0.15,0,0,0,0,0,0,0,0
1990,Annual,1516,Area,0,0.72,0,0,0,0,0,0,0,0
1990,Annual,1517,Area,0,0.043,0,0,0,0,0,0,0,0
1990,Annual,1518,Area,0,2.405,0,0,0,0,0,0,0,0
1990,Annual,1519,Area,0,0.049,0,0,0,0,0,0,0,0
1990,Annual,1520,Area,0,0.392,0,0,0,0,0,0,0,0
1990,Annual,1521,Area,0,0.063,0,0,0,0,0,0,0,0
1990,Annual,1522,Area,0,0.867,0,0,0,0,0,0,0,0
1990,Annual,1523,Area,0,0.085,0,0,0,0,0,0,0,0
1990,Annual,1524,Area,0,0.101,0,0,0,0,0,0,0,0
1990,Annual,1525,Area,0,0.009,0,0,0,0,0,0,0,0
1990,Annual,1526,Area,0,0.089,0,0,0,0,0,0,0,0
1990,Annual,1527,Area,0,0.092,0,0,0,0,0,0,0,0
1990,Annual,1528,Area,0,0.073,0,0,0,0,0,0,0,0
1990,Annual,1529,Area,0,0.323,0,0,0,0,0,0,0,0
1990,Annual,1530,Area,0,0.041,0,0,0,0,0,0,0,0
1990,Annual,1531,Area,0,0.138,0,0,0,0,0,0,0,0
1990,Annual,1532,Area,0,0.138,0,0,0,0,0,0,0,0
1990,Annual,1533,Area,0,0.455,0,0,0,0,0,0,0,0
1990,Annual,1534,Area,0,0.319,0,0,0,0,0,0,0,0
1990,Annual,1535,Area,0,0.017,0,0,0,0,0,0,0,0
1990,Annual,1536,Area,0,0.131,0,0,0,0,0,0,0,0
1990,Annual,1537,Area,0,0.448,0,0,0,0,0,0,0,0
1990,Annual,1538,Area,0,0.071,0,0,0,0,0,0,0,0
1990,Annual,1539,Area,0,0.022,0,0,0,0,0,0,0,0
1990,Annual,1540,Area,0,0.891,0,0,0,0,0,0,0,0
1990,Annual,1541,Area,0,0.157,0,0,0,0,0,0,0,0
1990,Annual,1542,Area,0,0.267,0,0,0,0,0,0,0,0
1990,Annual,1543,Area,0,0.119,0,0,0,0,0,0,0,0
1990,Annual,1544,Area,0,0.273,0,0,0,0,0,0,0,0
1990,Annual,1545,Area,0,0.977,0,0,0,0,0,0,0,0
1990,Annual,1546,Area,0,0.006,0,0,0,0,0,0,0,0
1990,Annual,1547,Area,0,0.145,0,0,0,0,0,0,0,0
1990,Annual,1548,Area,0,0.776,0,0,0,0,0,0,0,0
