yr,season,cat_no,cat_type,PM,TOG,NOx,SOx,CO,CO2,CH4,N2O,HFC,BCO2
1991,Annual,259,Point,0,0.019,0,0,0,0,0,0,0,0
1991,Annual,260,Point,0,0.588,0,0,0,0,0,0,0,0
1991,Annual,261,Point,0,0.019,0,0,0,0,0,0,0,0
1991,Annual,262,Point,0,0.165,0,0,0,0,0,0,0,0
1991,Annual,263,Point,0,0.036,0,0,0,0,0,0,0,0
1991,Annual,264,Point,0,0.033,0,0,0,0,0,0,0,0
1991,Annual,265,Point,0,0.024,0,0,0,0,0,0,0,0
1991,Annual,266,Point,0,0.006,0,0,0,0,0,0,0,0
1991,Annual,267,Point,0,0.004,0,0,0,0,0,0,0,0
1991,Annual,268,Point,0,1.491,0,0,0,0,0,0,0.0005,0
1991,Annual,269,Point,0,0.301,0,0,0,0,0,0,0,0
1991,Annual,270,Point,0,0.072,0,0,0,0,0,0,0,0
1991,Annual,271,Point,0,0.007,0,0,0,0,0,0,0,0
1991,Annual,272,Point,0,1.63,0,0,0,0,0,0,0,0
1991,Annual,273,Point,0,1.204,0,0,0,0,0,0,0,0
1991,Annual,274,Point,0,2.742,0,0,0,0,0,0,0,0
1991,Annual,275,Point,0,1.366,0,0,0,0,0,0,0,0
1991,Annual,276,Point,0,0.206,0,0,0,0,0,0,0,0
1991,Annual,277,Point,0,0.025,0,0,0,0,0,0,0,0
1991,Annual,278,Point,0,0.098,0,0,0,0,0,0,0,0
1991,Annual,279,Point,0,0.069,0,0,0,0,0,0,0,0
1991,Annual,280,Point,0,1.411,0,0,0,0,0,0,0.0468,0
1991,Annual,281,Point,0,0.35,0,0,0,0,0,0,0,0
1991,Annual,282,Point,0,1.352,0,0,0,0.26,0,0,0,0
1991,Annual,290,Point,0.025,0.025,0.629,0.026,0.618,298.65,0.0031,0,0,0
1991,Annual,291,Point,0.48,1.21,9.77,0.304,2.81,6253.3,0.5113,0.0069,0,36.91
1991,Annual,292,Point,0.054,0.639,0.962,0.043,0.414,102.16,1.7854,0.0005,0,181.02
1991,Annual,293,Point,0.68,0.4,32.28,0.14,9.22,2540.42,0.0062,0.0019,0,0
1991,Annual,297,Point,0.055,0.007,0.33,0.561,0.029,78.15,0.0006,0.0006,0,0
1991,Annual,298,Point,0.76,0.29,18.36,1.06,2.1,9994.15,0.2026,0.0119,0,0
1991,Annual,299,Point,1.08,0.66,26.16,2.98,2.35,13230.19,0.7023,0.0471,0,0
1991,Annual,300,Point,0,0.02,0.74,0,0.11,265.02,0.003,0.0028,0,0
1991,Annual,301,Point,0.01,0.06,1,2.74,0.48,2105.15,0.0614,0.0123,0,0
1991,Annual,302,Point,0,0,0,0,0,0,0,0,0,0
1991,Annual,303,Point,0.09,4.91,5.39,0.049,5.18,368.55,5.5186,0.0014,0,533.2
1991,Annual,304,Point,0.056,0.069,0.62,0.048,0.186,66.5,0.0024,0.0005,0,0.01
1991,Annual,305,Point,0.1,0.08,1.83,0.06,0.96,985.03,0.0277,0.0011,0,0
1991,Annual,306,Point,0.064,0.061,0.067,0.012,0.118,23.78,0.0006,0.0002,0,0
1991,Annual,307,Point,0.122,0.166,11.64,0.021,2.05,6174.31,0.1171,0.01,0,0
1991,Annual,308,Point,0.001,0.001,0.074,0.002,0.008,9.6,0.0003,0.0001,0,0
1991,Annual,309,Point,0.037,0.017,0.511,0.318,0.107,33.52,0.0013,0.0002,0,0
1991,Annual,310,Point,0,0.001,0.001,0.001,0,3.34,0,0,0,0
1991,Annual,311,Point,0.024,0.642,1.418,1.742,0.805,1941.92,0.0549,0.0113,0,0
1991,Annual,312,Point,0.046,0.408,0.376,0.117,0.216,278.5,0.08,0.0003,0,32.26
1991,Annual,314,Point,0.002,0.024,0.15,0.012,0.001,1.13,0.0016,0.0006,0,26.41
1991,Annual,796,Point,0,2.427,0,0,0,0,0,0,0,0
1991,Annual,800,Point,0,0.864,0,0,0,0,0,0,0,0
1991,Annual,898,Point,0,0.82,0,0,0,0,0,0,0,0
1991,Annual,937,Point,0,0.392,0,0,0,3.07,0.0111,0,0,0
1991,Annual,938,Point,0,0.553,0,0,0,0,0,0,0,0
1991,Annual,968,Point,0.008,0.012,4.57,0.001,0.091,162.23,0.0025,0.0003,0,0
1991,Annual,1157,Point,2.087,192.815,0.009,0,0,0,214.5641,0.0106,0,548.68
1991,Annual,1241,Point,0,2.376,0,0,0,0,0,0,0,0
1991,Annual,1243,Point,0,4.387,0,0,0,0,0,0,0.0549,0
1991,Annual,1245,Point,0,0.845,0,0,0,0,0,0,0,0
1991,Annual,1595,Point,0,0.001,0.01,0,0.01,229.9,0.0102,0.0002,0,0.56
1991,Annual,1686,Point,0.05,1.748,0.239,0.134,0.894,0.01,1.3537,0.0016,0,785.56
1991,Annual,1687,Point,0.037,1.109,0.197,0.031,0.541,1.8,1.2042,0.0006,0,285.33
